image_id,status,body,target_meta,timestamp_utc,predicted_range_km,true_range_km,relative_range_error,angular_center_error_arcsec,note
co-iss-n1620640892,DEGRADED,saturn_rings,Saturn Rings,2009-05-10T09:20:19.593,47362509.811318,935091.752,49.650120,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1620642257,DEGRADED,saturn_rings,Saturn Rings,2009-05-10T09:43:04.583,45651158.969399,936110.321,47.766858,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1620646352,DEGRADED,saturn_rings,Saturn Rings,2009-05-10T10:51:19.554,47218986.217026,939272.003,49.271898,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1628416567,REFUSED,,Saturn,2009-08-08T09:11:00.557,,,,,
co-iss-n1628421211,REFUSED,,Saturn,2009-08-08T10:28:24.524,,,,,
co-iss-n1628425316,REFUSED,,Saturn,2009-08-08T11:36:49.503,,,,,
co-iss-n1628426716,REFUSED,,Saturn,2009-08-08T12:00:09.493,,,,,
co-iss-n1628427316,REFUSED,,Saturn,2009-08-08T12:10:09.489,,,,,
co-iss-n1628433764,REFUSED,,Saturn,2009-08-08T13:57:37.435,,,,,
co-iss-n1630961062,REFUSED,,Kari,2009-09-06T20:01:01.440,,,,,
co-iss-n1631614576,REFUSED,,Ijiraq,2009-09-14T09:32:24.879,,,,,
co-iss-n1644268128,REFUSED,,Skoll,2010-02-07T20:21:49.052,,,,,
co-iss-n1648533433,REFUSED,,Bebhionn,2010-03-29T05:11:21.712,,,,,
co-iss-n1650145965,REFUSED,,Albiorix,2010-04-16T21:06:42.163,,,,,
co-iss-n1650147103,REFUSED,,Albiorix,2010-04-16T21:24:02.182,,,,,
co-iss-n1661529677,REFUSED,,Hyrrokkin,2010-08-26T15:13:34.658,,,,,
co-iss-n1661582175,REFUSED,,Greip,2010-08-27T05:46:32.281,,,,,
co-iss-n1667135008,REFUSED,,Bergelmir,2010-10-30T12:00:05.434,,,,,
co-iss-n1684084195,REFUSED,,S/2004 S 12,2011-05-14T16:17:45.049,,,,,
co-iss-n1691633139,NOMINAL,saturn,Saturn,2011-08-10T01:16:20.897,37976636.278071,2692568.147,13.104243,,;pxform_fail:SpiceNOFRAMECONNECT
